Place_Name,Category,City,Price,Rating,Type,is_holiday,holiday_type,Low_Days,Medium_Days,High_Days,Weather_Suitability,Ideal_Duration,Meal_Type,Latitude,Longitude,Open_Hour,Close_Hour,Time_Slot
Monumen Nasional,Wisata - Budaya,Jakarta,20000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",99,None,-6.1753924,106.8271528,09:00:00,18:00:00,Afternoon
Kota Tua,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",82,None,-6.137644799999999,106.8171245,09:00:00,16:00:00,Morning
Dunia Fantasi,Wisata - Taman Hiburan,Jakarta,270000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",88,None,-6.125312399999999,106.8335377,08:00:00,20:00:00,Afternoon
Taman Mini Indonesia Indah (TMII),Wisata - Taman Hiburan,Jakarta,10000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",142,None,-6.302445899999999,106.8951559,07:00:00,17:00:00,Afternoon
Atlantis Water Adventure,Wisata - Taman Hiburan,Jakarta,94000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",110,None,-6.12419,106.839134,10:00:00,18:00:00,Afternoon
Taman Impian Jaya Ancol,Wisata - Taman Hiburan,Jakarta,25000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",177,None,-6.117333200000001,106.8579951,09:00:00,19:00:00,Afternoon
Kebun Binatang Ragunan,Wisata - Cagar Alam,Jakarta,4000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,84,None,-6.3124593,106.8201865,09:00:00,17:00:00,Afternoon
Ocean Ecopark,Wisata - Taman Hiburan,Jakarta,180000,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",64,None,-6.125801699999999,106.8363249,09:00:00,20:00:00,Afternoon
Pelabuhan Marina,Wisata - Bahari,Jakarta,175000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,113,None,1.07888,103.931398,10:00:00,19:00:00,Afternoon
Pulau Tidung,Wisata - Bahari,Jakarta,150000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,135,None,-5.803205300000001,106.5237907,09:00:00,17:00:00,Afternoon
Pulau Bidadari,Wisata - Bahari,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,175,None,-6.036261499999999,106.7466201,08:00:00,20:00:00,Evening
Pulau Pari,Wisata - Bahari,Jakarta,150000,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,77,None,-5.9074328,106.5863989,07:00:00,19:00:00,Morning
Pulau Pramuka,Wisata - Bahari,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,95,None,-5.745962,106.6136577,07:00:00,18:00:00,Afternoon
Pulau Pelangi,Wisata - Bahari,Jakarta,900000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,161,None,-5.587055,106.5885,08:00:00,20:00:00,Morning
Pasar Seni,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,114,None,-6.1766868,106.8417666,07:00:00,18:00:00,Afternoon
Jembatan Kota Intan,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",166,None,-6.1314572,106.8106169,09:00:00,16:00:00,Morning
Museum Fatahillah,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",142,None,-6.136448899999999,106.8130661,07:00:00,17:00:00,Morning
Museum Bank Indonesia,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",74,None,-6.137127,106.813005,10:00:00,17:00:00,Afternoon
Kidzania,Wisata - Taman Hiburan,Jakarta,185000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",108,None,-6.225073499999999,106.8097144,07:00:00,20:00:00,Afternoon
Museum Taman Prasasti,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",175,None,-6.172224099999998,106.8189695,08:00:00,17:00:00,Afternoon
Museum Wayang,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",102,None,-6.1349072,106.8124452,09:00:00,18:00:00,Morning
Masjid Istiqlal,Wisata - Tempat Ibadah,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,97,None,-6.17017,106.83139,09:00:00,17:00:00,Morning
Gereja Katedral,Wisata - Tempat Ibadah,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,140,None,-6.169225000000001,106.833063,09:00:00,20:00:00,Morning
Museum Nasional,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",107,None,-6.176402099999999,106.8215901,10:00:00,16:00:00,Morning
